spCode,spName,gHabit,Categorization2,Categorization,Nat_Non,covertype,csprouting
ACMAME,Acmispon_americanus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ACMARG,Acmispon argophyllus,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ACMGLA,Acmispon_glaber,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ACMHER,Acmispon heermannii,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ACMMAR,Acmispon_maritimus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ACMMIC,Acmispon_micranthus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ACMSPP,Acmispon_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ACMSPP(D),dead_Acmispon,Forb,,,NATIVE,plant,non
ACMSTR,Acmispon_strigosus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ACMWRA,Acmispon_wrangelianus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ACOMIC,Acourtia_microcephala,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ADEFAS,Adenostoma_fasciculatum,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ADEFAS(D),dead_Adenostoma_fasciculatum,,Standing_Dead,,NATIVE,plant,non
ADESPP(D),dead_Adenostoma,,Standing_Dead,,NATIVE,plant,non
AGOGRA,Agoseris_grandiflora,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
AGOSPP,Agoseris species,Forb,NativeForb,,NATIVE,plant,non
AGRPAL,Agrostis_pallens,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
AGRSPP,Agrostis_species,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
AGRSPP(D),dead_Agrostis,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
AMBACA,Ambrosia_acanthicarpa,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
AMBCON,Ambrosia_confertiflora,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
AMBPSI,Ambrosia_psilostachya,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
AMSINT,Amsinckia_intermedia,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
AMSMEN,Amsinckia_menziesii,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
AMSRET,Amsinckia retrorsa,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ANAARV,Anagallis_arvensis,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
ANTCAU,Anthriscus caucalis,Forb,NN_Forb,,NONNATIVE,plant,non
ANTCOU,Antirrhinum_coulterianum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ANTKEL,Antirrhinum_kelloggii,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ANTNUT,Antirrhinum_nuttallianum,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ANTSPP,Antirrhinum species,Forb,,,,plant,non
APIANG,Apiastrum_angustifolium,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ARIPUR,Aristida purpurea,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
ARISPP,Aristida_species,Grass,Grass,Grass,NA,plant,non
ARTCAL,Artemisia_californica,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
ARTCAL(D),dead_Artemisia_californica,,Standing_Dead,,NATIVE,plant,non
ARTPAL,Artemisia_palmeri,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ARTSPP(D),dead_Artemisia,,Standing_Dead,,NATIVE,plant,non
ASCFAS,Asclepias fascicularis,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
ASTERACEAE,Asteraceae family,,,,,plant,non
