Tyear,GrpTyear,Transect,Status,Lat,Long,Aspect,SlopeD,SlopeP,Year,Round,SpRound
BD21_2021_1,BD21_2021,BD21,U,33.772589,-117.684331,62,27,52,2021,1,1
BD21_2021_2,BD21_2021,BD21,U,33.772589,-117.684331,62,27,52,2021,2,2
BD21_2021_3,BD21_2021,BD21,U,33.772589,-117.684331,62,27,52,2021,3,3
BD21_2022_1,BD21_2022,BD21,U,33.772589,-117.684331,62,27,52,2022,1,4
BD21_2022_2,BD21_2022,BD21,U,33.772589,-117.684331,62,27,52,2022,2,5
BD21_2022_3,BD21_2022,BD21,U,33.772589,-117.684331,62,27,52,2022,3,6
BKR07_2021_1,BKR07_2021,BKR07,U,33.75453,-117.67253,0,0,0,2021,1,1
BKR07_2021_2,BKR07_2021,BKR07,U,33.75453,-117.67253,0,0,0,2021,2,2
BKR07_2021_3,BKR07_2021,BKR07,U,33.75453,-117.67253,0,0,0,2021,3,3
BKR07_2022_1,BKR07_2022,BKR07,U,33.75453,-117.67253,0,0,0,2022,1,4
BKR07_2022_2,BKR07_2022,BKR07,U,33.75453,-117.67253,0,0,0,2022,2,5
BKR07_2022_3,BKR07_2022,BKR07,U,33.75453,-117.67253,0,0,0,2022,3,6
BKR10_2021_1,BKR10_2021,BKR10,U,33.7594,-117.67177,212,5,9,2021,1,1
BKR10_2021_2,BKR10_2021,BKR10,U,33.7594,-117.67177,212,5,9,2021,2,2
BKR10_2021_3,BKR10_2021,BKR10,U,33.7594,-117.67177,212,5,9,2021,3,3
BKR10_2022_1,BKR10_2022,BKR10,U,33.7594,-117.67177,212,5,9,2022,1,4
BKR10_2022_2,BKR10_2022,BKR10,U,33.7594,-117.67177,212,5,9,2022,2,5
BKR10_2022_3,BKR10_2022,BKR10,U,33.7594,-117.67177,212,5,9,2022,3,6
GYP01_2021_1,GYP01_2021,GYP01,M,33.83584,-117.71474,25,21,39,2021,1,1
GYP01_2021_2,GYP01_2021,GYP01,M,33.83584,-117.71474,25,21,39,2021,2,2
GYP01_2021_3,GYP01_2021,GYP01,M,33.83584,-117.71474,25,21,39,2021,3,3
GYP01_2022_1,GYP01_2022,GYP01,M,33.83584,-117.71474,25,21,39,2022,1,4
GYP01_2022_2,GYP01_2022,GYP01,M,33.83584,-117.71474,25,21,39,2022,2,5
GYP01_2022_3,GYP01_2022,GYP01,M,33.83584,-117.71474,25,21,39,2022,3,6
GYP02_2021_1,GYP02_2021,GYP02,M,33.8387,-117.70922,350,12,21,2021,1,1
GYP02_2021_2,GYP02_2021,GYP02,M,33.8387,-117.70922,350,12,21,2021,2,2
GYP02_2021_3,GYP02_2021,GYP02,M,33.8387,-117.70922,350,12,21,2021,3,3
GYP02_2022_1,GYP02_2022,GYP02,M,33.8387,-117.70922,350,12,21,2022,1,4
GYP02_2022_2,GYP02_2022,GYP02,M,33.8387,-117.70922,350,12,21,2022,2,5
GYP02_2022_3,GYP02_2022,GYP02,M,33.8387,-117.70922,350,12,21,2022,3,6
GYP04_2021_1,GYP04_2021,GYP04,U,33.84526,-117.70396,278,10,17,2021,1,1
GYP04_2021_2,GYP04_2021,GYP04,U,33.84526,-117.70396,278,10,17,2021,2,2
GYP04_2021_3,GYP04_2021,GYP04,U,33.84526,-117.70396,278,10,17,2021,3,3
GYP04_2022_1,GYP04_2022,GYP04,U,33.84526,-117.70396,278,10,17,2022,1,4
GYP04_2022_2,GYP04_2022,GYP04,U,33.84526,-117.70396,278,10,17,2022,2,5
GYP04_2022_3,GYP04_2022,GYP04,U,33.84526,-117.70396,278,10,17,2022,3,6
GYP08_2021_1,GYP08_2021,GYP08,U,33.84832,-117.70254,26,15,27,2021,1,1
GYP08_2021_2,GYP08_2021,GYP08,U,33.84832,-117.70254,26,15,27,2021,2,2
GYP08_2021_3,GYP08_2021,GYP08,U,33.84832,-117.70254,26,15,27,2021,3,3
GYP08_2022_1,GYP08_2022,GYP08,U,33.84832,-117.70254,26,15,27,2022,1,4
GYP08_2022_2,GYP08_2022,GYP08,U,33.84832,-117.70254,26,15,27,2022,2,5
GYP08_2022_3,GYP08_2022,GYP08,U,33.84832,-117.70254,26,15,27,2022,3,6
GYP09_2021_1,GYP09_2021,GYP09,U,33.84882,-117.70251,334,28,53,2021,1,1
GYP09_2021_2,GYP09_2021,GYP09,U,33.84882,-117.70251,334,28,53,2021,2,2
GYP09_2021_3,GYP09_2021,GYP09,U,33.84882,-117.70251,334,28,53,2021,3,3
GYP09_2022_1,GYP09_2022,GYP09,U,33.84882,-117.70251,334,28,53,2022,1,4
GYP09_2022_2,GYP09_2022,GYP09,U,33.84882,-117.70251,334,28,53,2022,2,5
GYP09_2022_3,GYP09_2022,GYP09,U,33.84882,-117.70251,334,28,53,2022,3,6
I02_2021_1,I02_2021,I02,M,33.79931,-117.74178,182,8,14,2021,1,1
I02_2021_2,I02_2021,I02,M,33.79931,-117.74178,182,8,14,2021,2,2
I02_2021_3,I02_2021,I02,M,33.79931,-117.74178,182,8,14,2021,3,3
I02_2022_1,I02_2022,I02,M,33.79931,-117.74178,182,8,14,2022,1,4
I02_2022_2,I02_2022,I02,M,33.79931,-117.74178,182,8,14,2022,2,5
I02_2022_3,I02_2022,I02,M,33.79931,-117.74178,182,8,14,2022,3,6
I08_2021_1,I08_2021,I08,U,33.83521,-117.68352,80,19,34,2021,1,1
I08_2021_2,I08_2021,I08,U,33.83521,-117.68352,80,19,34,2021,2,2
I08_2021_3,I08_2021,I08,U,33.83521,-117.68352,80,19,34,2021,3,3
I08_2022_1,I08_2022,I08,U,33.83521,-117.68352,80,19,34,2022,1,4
I08_2022_2,I08_2022,I08,U,33.83521,-117.68352,80,19,34,2022,2,5
I08_2022_3,I08_2022,I08,U,33.83521,-117.68352,80,19,34,2022,3,6
I14_2021_1,I14_2021,I14,U,33.79383,-117.72003,0,0,0,2021,1,1
I14_2021_2,I14_2021,I14,U,33.79383,-117.72003,0,0,0,2021,2,2
I14_2021_3,I14_2021,I14,U,33.79383,-117.72003,0,0,0,2021,3,3
I14_2022_1,I14_2022,I14,U,33.79383,-117.72003,0,0,0,2022,1,4
I14_2022_2,I14_2022,I14,U,33.79383,-117.72003,0,0,0,2022,2,5
I14_2022_3,I14_2022,I14,U,33.79383,-117.72003,0,0,0,2022,3,6
I15_2021_1,I15_2021,I15,M,33.81712,-117.70919,68,12,21,2021,1,1
I15_2021_2,I15_2021,I15,M,33.81712,-117.70919,68,12,21,2021,2,2
I15_2021_3,I15_2021,I15,M,33.81712,-117.70919,68,12,21,2021,3,3
I15_2022_1,I15_2022,I15,M,33.81712,-117.70919,68,12,21,2022,1,4
I15_2022_2,I15_2022,I15,M,33.81712,-117.70919,68,12,21,2022,2,5
I15_2022_3,I15_2022,I15,M,33.81712,-117.70919,68,12,21,2022,3,6
I20_2021_1,I20_2021,I20,U,33.83474,-117.68435,27,9,20,2021,1,1
I20_2021_2,I20_2021,I20,U,33.83474,-117.68435,27,9,20,2021,2,2
I20_2021_3,I20_2021,I20,U,33.83474,-117.68435,27,9,20,2021,3,3
I20_2022_1,I20_2022,I20,U,33.83474,-117.68435,27,9,20,2022,1,4
I20_2022_2,I20_2022,I20,U,33.83474,-117.68435,27,9,20,2022,2,5
I20_2022_3,I20_2022,I20,U,33.83474,-117.68435,27,9,20,2022,3,6
I40_2021_1,I40_2021,I40,M,33.82975,-117.69362,308,17,31,2021,1,1
I40_2021_2,I40_2021,I40,M,33.82975,-117.69362,308,17,31,2021,2,2
I40_2021_3,I40_2021,I40,M,33.82975,-117.69362,308,17,31,2021,3,3
I40_2022_1,I40_2022,I40,M,33.82975,-117.69362,308,17,31,2022,1,4
I40_2022_2,I40_2022,I40,M,33.82975,-117.69362,308,17,31,2022,2,5
I40_2022_3,I40_2022,I40,M,33.82975,-117.69362,308,17,31,2022,3,6
I50_2021_1,I50_2021,I50,M,33.82775,-117.6982,34,9,16,2021,1,1
I50_2021_2,I50_2021,I50,M,33.82775,-117.6982,34,9,16,2021,2,2
I50_2021_3,I50_2021,I50,M,33.82775,-117.6982,34,9,16,2021,3,3
I50_2022_1,I50_2022,I50,M,33.82775,-117.6982,34,9,16,2022,1,4
