Transect,Quad,Year,Round,Date,Temp,Wspd,Start,Time,Veg,Num,Type_pollinator,Bee_type,Size,Long_pol_sp
BD21,0,2021,1,18-Mar,14,2,9:10,,nothing,NA,NA,,,
BD21,5,2021,1,18-Mar,15,0,9:30,,nothing,NA,NA,,,
BD21,35,2021,1,18-Mar,15,0,9:55,,nothing,NA,NA,,,
BD21,40,2021,1,18-Mar,16,0,10:20,,nothing,NA,NA,,,
IRC23,10,2021,1,18-Mar,19,3,12:40,12:34,EROCIC,1,BEE,Apis,,Apis mellifera
IRC23,10,2021,1,18-Mar,19,3,12:40,12:35,CRYMUR,3,BEE,Native,10,Hyleus mesillae
IRC23,10,2021,1,18-Mar,19,3,12:40,12:43,CRYMUR,2,DIP,,,diptera
IRC23,15,2021,1,18-Mar,19,3,13:05,nothing,nothing,NA,NA,,,
IRC23,20,2021,1,18-Mar,19,3,13:30,nothing,nothing,NA,NA,,,
IRC23,15,2021,1,18-Mar,19,3,14:00,nothing,nothing,NA,NA,,,
IRC13,40,2021,1,19-Mar,15,0,9:58,15:58,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,17,1,10:20,13:54,PHAPAR,3,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,17,1,10:20,19:26,PHAPAR,3,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,19,2,11:37,0:00,PHAPAR,1,BEE,Native,5,nativebee
IRC13,15,2021,1,19-Mar,19,2,11:37,1:26,CRYMUR,1,DIP,,,Diptera
IRC13,15,2021,1,19-Mar,19,2,11:37,9:35,PHAPAR,4,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,19,2,11:37,17:40,PHAPAR,3,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,19,2,11:37,18:24,PHAPAR,4,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,19,2,11:37,19:40,PHAPAR,5,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,21,2,12:16,0:00,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,21,2,12:16,0:00,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,21,2,12:16,2:49,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,21,2,12:16,3:58,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,21,2,12:16,10:42,CRYMUR,1,BEE,Native,10,halictid?
IRC13,15,2021,1,19-Mar,21,2,12:16,16:02,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,21,2,12:16,16:33,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,21,2,12:16,16:33,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC13,15,2021,1,19-Mar,21,2,12:16,17:21,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,1:20,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,2:15,PHAPAR,5,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,4:55,PHAPAR,2,LID,,,Bombyliidae
IRC13,20,2021,1,19-Mar,20,3,12:48,6:21,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,7:03,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,7:36,PHAPAR,3,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,,CRYMUR,1,BEE,Apis,,Apis mellifera
