Round,Transect,Quad,Species,Number on slide,Total pollen count,Heterospecific pollen yes/no,Heterospecific pollen count,
1,BD21,30,EUCCHR,1,41,no,0,
1,BD21,30,EUCCHR,2,34,no,0,
1,BD21,30,EUCCHR,3,23,no,0,
1,BD21,30,EUCCHR,4,69,no,0,
1,BD21,30,EUCCHR,5,48,no,0,
1,BD21,5,SALMEL,1,0,no,0,
1,BD21,5,SALMEL,2,11,no,0,
1,BD21,5,SALMEL,3,1,no,0,
1,BD21,5,SALMEL,4,1,no,0,
1,BD21,5,SALMEL,5,7,no,0,
1,BD21,5,SALMEL,6,0,no,0,
1,BD21,10,SALMEL,1,9,no,0,
1,BD21,10,SALMEL,2,16,no,0,
1,BD21,10,SALMEL,3,23,no,0,
1,BD21,10,SALMEL,4,20,no,0,
1,BD21,10,SALMEL,5,23,no,0,
1,BD21,10,SALMEL,6,1,no,0,
1,BD21,10,SALMEL,7,4,no,0,
1,BD21,10,SALMEL,8,2,no,0,
1,BD21,10,SALMEL,9,13,no,0,
1,BD21,35,SALMEL,1,1,no,0,
1,BD21,35,SALMEL,2,1,no,0,
1,BD21,35,SALMEL,3,2,no,0,
1,BD21,35,SALMEL,4,19,no,0,
1,BD21,35,SALMEL,5,71,no,0,
1,BD21,35,SALMEL,6,11,no,0,
1,BD21,35,SALMEL,7,5,no,0,
1,BD21,40,SALMEL,1,7,no,0,
1,BD21,40,SALMEL,2,3,no,0,
1,BD21,40,SALMEL,3,3,no,0,
1,BD21,40,SALMEL,4,4,no,0,
1,BD21,40,SALMEL,5,6,no,0,
2,BD21,25,PHACIC,1,0,no,0,
2,BD21,25,PHACIC,1,2,no,0,
2,BD21,25,PHACIC,1,0,no,0,
2,BD21,25,PHACIC,2,1,no,0,
2,BD21,25,PHACIC,2,22,no,0,
2,BD21,25,PHACIC,2,2,no,0,
2,BD21,25,PHACIC,3,6,no,0,
2,BD21,25,PHACIC,3,2,no,0,
2,BD21,25,PHACIC,3,13,no,0,
2,BD21,0,SALMEL,1,1,no,0,
2,BD21,0,SALMEL,2,0,no,0,
2,BD21,0,SALMEL,3,1,no,0,
2,BD21,0,SALMEL,4,30,no,0,
2,BD21,0,SALMEL,5,5,no,0,
2,BD21,5,SALMEL,1,20,no,0,
2,BD21,5,SALMEL,2,0,no,0,
2,BD21,5,SALMEL,3,97,no,0,
2,BD21,5,SALMEL,4,9,no,0,
2,BD21,5,SALMEL,5,10,no,0,
2,BD21,5,SALMEL,6,4,no,0,
2,BD21,5,SALMEL,7,5,no,0,
2,BD21,5,SALMEL,8,1,no,0,
2,BD21,5,SALMEL,9,7,no,0,
2,BD21,20,SALMEL,1,11,no,0,
2,BD21,20,SALMEL,2,18,no,0,
2,BD21,20,SALMEL,3,2,no,0,
2,BD21,20,SALMEL,4,8,no,0,
2,BD21,20,SALMEL,5,2,no,0,
2,BD21,20,SALMEL,6,4,no,0,
2,BD21,20,SALMEL,7,12,no,0,
2,BD21,25,SALMEL,1,3,no,0,
2,BD21,25,SALMEL,2,179,no,0,
2,BD21,25,SALMEL,3,5,no,0,
2,BD21,40,SALMEL,1,49,no,0,
2,BD21,40,SALMEL,2,6,no,0,
2,BD21,40,SALMEL,3,0,no,0,
2,BD21,40,SALMEL,4,41,no,0,
2,BD21,40,SALMEL,5,12,no,0,
2,BD21,41,SALMEL,1,10,no,0,
2,BD21,41,SALMEL,2,6,no,0,
2,BD21,41,SALMEL,3,1,no,0,
2,BD21,41,SALMEL,4,22,no,0,
2,BD21,41,SALMEL,5,8,no,0,
2,BD21,45,SALMEL,1,0,no,0,
2,BD21,45,SALMEL,2,1,no,0,
2,BD21,45,SALMEL,3,0,no,0,
2,BD21,45,SALMEL,4,5,no,0,
2,BD21,45,SALMEL,5,0,no,0,
3,BD21,30,PHACIC,1,9,no,0,
3,BD21,30,PHACIC,2,6,no,0,
3,BD21,30,PHACIC,3,43,no,0,
3,BD21,0,SALMEL,1,18,no,0,
3,BD21,0,SALMEL,2,1,no,0,
3,BD21,0,SALMEL,3,1,no,0,
3,BD21,0,SALMEL,4,3,no,0,
3,BD21,0,SALMEL,5,0,no,0,
3,BD21,0,SALMEL,6,2,no,0,
3,BD21,0,SALMEL,7,3,no,0,
3,BD21,0,SALMEL,8,2,no,0,
3,BD21,0,SALMEL,9,2,no,0,
3,BD21,5,SALMEL,1,47,no,0,
3,BD21,5,SALMEL,2,3,no,0,
3,BD21,5,SALMEL,3,1,no,0,
3,BD21,10,SALMEL,1,2,no,0,
3,BD21,10,SALMEL,2,5,no,0,
3,BD21,10,SALMEL,3,9,no,0,
3,BD21,10,SALMEL,4,4,no,0,
3,BD21,10,SALMEL,5,2,no,0,
3,BD21,10,SALMEL,6,0,no,0,
3,BD21,15,SALMEL,1,1,no,0,
3,BD21,15,SALMEL,2,7,no,0,
3,BD21,15,SALMEL,3,5,no,0,
3,BD21,15,SALMEL,4,8,no,0,
3,BD21,20,SALMEL,1,6,no,0,
3,BD21,20,SALMEL,2,14,no,0,
3,BD21,20,SALMEL,3,12,no,0,
3,BD21,20,SALMEL,4,20,no,0,
3,BD21,20,SALMEL,5,7,no,0,
3,BD21,20,SALMEL,6,22,no,0,
3,BD21,20,SALMEL,7,0,no,0,
3,BD21,20,SALMEL,8,6,no,0,
3,BD21,30,SALMEL,1,0,no,0,
3,BD21,30,SALMEL,2,8,no,0,
3,BD21,30,SALMEL,3,0,no,0,
3,BD21,30,SALMEL,4,3,yes,1,
3,BD21,30,SALMEL,5,0,no,0,
3,BD21,30,SALMEL,6,2,no,0,
3,BD21,30,SALMEL,7,0,no,0,
3,BD21,30,SALMEL,8,4,yes,1,
3,BD21,30,SALMEL,9,3,no,0,
3,BD21,35,SALMEL,1,12,no,0,
3,BD21,35,SALMEL,2,33,no,0,
3,BD21,35,SALMEL,3,5,no,0,
3,BD21,35,SALMEL,4,12,no,0,
3,BD21,40,SALMEL,1,10,no,0,
3,BD21,40,SALMEL,2,4,no,0,
3,BD21,40,SALMEL,3,0,no,0,
3,BD21,40,SALMEL,4,0,no,0,
3,BD21,40,SALMEL,5,4,no,0,
3,BD21,45,SALMEL,1,49,no,0,
3,BD21,45,SALMEL,2,0,no,0,
3,BD21,45,SALMEL,3,18,no,0,
3,BD21,45,SALMEL,4,7,no,0,
3,BD21,45,SALMEL,5,15,no,0,
3,BD21,45,SALMEL,6,11,no,0,
3,BD21,45,SALMEL,7,7,no,0,
3,BD21,45,SALMEL,8,0,no,0,
3,BD21,45,SALMEL,9,11,no,0,
3,BD21,45,SALMEL,10,52,no,0,
1,BKR07,10,EROCIC,1,26,no,0,
1,BKR07,15,EROCIC,1,30,no,0,
1,BKR07,35,EROCIC,1,96,no,0,
1,BKR07,45,EROCIC,1,163,no,0,
1,BKR07,45,EROCIC,2,85,no,0,
1,BKR07,45,EROCIC,3,52,no,0,
1,BKR07,45,EROCIC,4,64,no,0,
1,BKR07,,EROCIC,1,75,yes,15,
1,BKR07,,EROCIC,2,42,no,0,
1,BKR07,,EROCIC,3,15,no,0,
1,BKR07,35,GILANG,1,97,no,0,
1,BKR07,4,SOLXAN,1,150,no,0,
1,BKR07,4,SOLXAN,2,140,no,0,
1,BKR07,4,SOLXAN,3,230,yes,5,
2,BKR07,,SOLXAN,1,240,yes,5,
2,BKR07,,SOLXAN,2,470,no,0,
2,BKR07,,SOLXAN,3,52,no,0,
2,BKR07,,SOLXAN,4,70,yes,1,
2,BKR07,,SOLXAN,5,380,no,0,
3,BKR07,4,EROCIC,1,26,no,0,
3,BKR07,4,EROCIC,2,76,no,0,
3,BKR07,4,EROCIC,3,0,no,0,
