Tyear,Transect,Date,Year,Round,Species,0,5,10,15,20,25,30,35,40,45,Total,Average,SPECIAL
IRC23_2021_1,IRC23,3/18,2021,1,EROCIC,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
IRC23_2021_1,IRC23,3/18,2021,1,CRYMUR,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
IRC23_2021_1,IRC23,3/18,2021,1,BRATOU,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
IRC23_2021_1,IRC23,3/18,2021,1,DICCAP,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.727,0
IRC23_2021_1,IRC23,3/18,2021,1,MARMAC,0.000,0.000,0.000,0.000,6.000,0.000,0.000,2.000,0.000,0.000,8.000,1.455,0
IRC23_2021_1,IRC23,3/18,2021,1,ESCCAL,0.000,0.000,0.000,0.000,0.000,129.000,0.000,0.000,0.000,0.000,129.000,23.455,0
IRC13_2021_1,IRC13,3/19,2021,1,ACMGLA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,11.000,6.000,21.000,3.818,0
IRC13_2021_1,IRC13,3/19,2021,1,EROCIC,0.000,1.000,1.000,0.000,0.000,0.000,4.000,1.000,1.000,4.000,12.000,2.182,0
IRC13_2021_1,IRC13,3/19,2021,1,PHAPAR,0.000,0.000,3.000,9.000,5.000,8.000,1.000,0.000,3.000,0.000,29.000,5.273,0
IRC13_2021_1,IRC13,3/19,2021,1,CRYMUR,0.000,0.000,7.000,36.000,1.000,3.000,0.000,0.000,0.000,0.000,47.000,8.545,0
I14_2021_1,I14,3/26,2021,1,SONOLE,0.000,2.000,6.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,10.000,1.818,0
I14_2021_1,I14,3/26,2021,1,EROCIC,0.000,0.000,10.000,0.000,0.000,13.000,17.000,18.000,5.000,0.000,63.000,11.455,0
I14_2021_1,I14,3/26,2021,1,LUPBIC,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,11.000,2.000,0
I14_2021_1,I14,3/26,2021,1,GILANG,22.000,25.000,42.000,0.000,0.000,38.000,2.000,44.000,41.000,5.000,219.000,39.818,0
I14_2021_1,I14,3/26,2021,1,ESCCAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,5.000,0.909,0
I14_2021_1,I14,3/26,2021,1,ACMGLA,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.182,0
I15_2021_1,I15,3/26,2021,1,CALCIL,0.000,0.000,0.000,0.000,53.000,1.000,0.000,0.000,0.000,0.000,54.000,9.818,0
I15_2021_1,I15,3/26,2021,1,GILANG,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,3.000,0.545,0
IRC01_2021_1,IRC01,3/22,2021,1,DICCAP,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
IRC01_2021_1,IRC01,3/22,2021,1,CLAPAR,0.000,0.000,2.000,2.000,3.000,0.000,0.000,0.000,0.000,0.000,7.000,1.273,0
IRC01_2021_1,IRC01,3/22,2021,1,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GYP01_2021_1,GYP01,3/23,2021,1,EROCIC,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000,0.364,0
GYP01_2021_1,GYP01,3/23,2021,1,ESCCAL,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.182,0
GYP08_2021_1,GYP08,3/23,2021,1,SISBEL,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,0.000,0.000,19.000,3.455,0
GYP08_2021_1,GYP08,3/23,2021,1,LASCAL,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,10.000,1.818,0
SS05_2021_1,SS05,3/25,2021,1,BRATOU,0.000,11.000,0.000,153.000,108.000,135.000,174.000,167.000,0.000,0.000,748.000,136.000,0
SS05_2021_1,SS05,3/25,2021,1,MIRLAE,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,5.000,0.000,8.000,1.455,0
SS05_2021_1,SS05,3/25,2021,1,EROCIC,0.000,0.000,0.000,4.000,32.000,0.000,0.000,0.000,0.000,2.000,38.000,6.909,0
SS05_2021_1,SS05,3/25,2021,1,CRYMUR,0.000,0.000,0.000,0.000,3.000,2.000,0.000,0.000,0.000,0.000,5.000,0.909,0
GYP02_2021_1,GYP02,3/29,2021,1,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,4.000,0.727,0
GYP02_2021_1,GYP02,3/29,2021,1,CAMMIC,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,5.000,0.909,0
SS03_2021_1,SS03,3/30,2021,1,EROCIC,6.000,3.000,0.000,0.000,4.000,1.000,0.000,0.000,2.000,3.000,19.000,3.455,0
SS03_2021_1,SS03,3/30,2021,1,EROBRA,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.727,0
SS03_2021_1,SS03,3/30,2021,1,GILANG,3.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,7.000,1.273,0
SS03_2021_1,SS03,3/30,2021,1,DICCAP,0.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.727,0
SS04_2021_1,SS04,3/30,2021,1,EROCIC,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,1.091,0
SS04_2021_1,SS04,3/30,2021,1,CRYMUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,12.000,2.182,0
I40_2021_1,I40,3/31,2021,1,MICLIN,0.000,0.000,0.000,0.000,0.000,0.000,14.000,3.000,2.000,68.000,87.000,15.818,0
I40_2021_1,I40,3/31,2021,1,EROCIC,0.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000,3.000,19.000,25.000,4.545,0
I40_2021_1,I40,3/31,2021,1,EROBOT,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.000,2.000,0.000,6.000,1.091,0
I40_2021_1,I40,3/31,2021,1,GILANG,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,9.000,4.000,16.000,2.909,0
I40_2021_1,I40,3/31,2021,1,FOEVUL,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,3.000,0.545,0
I08_2021_1,I08,3/31,2021,1,LUPBIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,9.000,11.000,2.000,0
I08_2021_1,I08,3/31,2021,1,DICCAP,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,4.000,0.727,0
I08_2021_1,I08,3/31,2021,1,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GYP09_2021_1,GYP09,4/1,2021,1,MICLIN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,4.000,0.727,0
GYP09_2021_1,GYP09,4/1,2021,1,SALMEL,0.000,0.000,0.000,0.000,23.000,0.000,13.000,0.000,0.000,0.000,36.000,6.545,0
GYP09_2021_1,GYP09,4/1,2021,1,PHOAUR,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.545,0
GYP09_2021_1,GYP09,4/1,2021,1,EUCCHR,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
I02_2021_1,I02,4/1,2021,1,HIRINC,18.000,0.000,9.000,1.000,8.000,5.000,3.000,6.000,2.000,5.000,57.000,10.364,0
I02_2021_1,I02,4/1,2021,1,EROCIC,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
IRC08_2021_1,IRC08,4/2,2021,1,EROCIC,0.000,4.000,15.000,0.000,0.000,19.000,0.000,0.000,38.000,34.000,110.000,20.000,0
IRC08_2021_1,IRC08,4/2,2021,1,MIRLAE,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
IRC08_2021_1,IRC08,4/2,2021,1,EUCCHR,11.000,3.000,3.000,9.000,0.000,150.000,6.000,10.000,70.000,17.000,279.000,50.727,0
IRC08_2021_1,IRC08,4/2,2021,1,MEDPOL,2.000,0.000,1.000,0.000,0.000,1.000,3.000,2.000,0.000,0.000,9.000,1.636,0
IRC08_2021_1,IRC08,4/2,2021,1,CAMMIC,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.364,0
IRC23_2021_2,IRC23,4/5,2021,2,PHAPAR,0.000,22.000,17.000,64.000,15.000,0.000,0.000,0.000,0.000,0.000,118.000,21.455,0
IRC23_2021_2,IRC23,4/5,2021,2,EROCIC,0.000,3.000,48.000,13.000,17.000,0.000,14.000,23.000,27.000,0.000,145.000,26.364,2
IRC23_2021_2,IRC23,4/5,2021,2,MEDPOL,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
IRC23_2021_2,IRC23,4/5,2021,2,MIRLAE,0.000,0.000,2.000,0.000,22.000,0.000,4.000,0.000,0.000,0.000,28.000,5.091,0
IRC23_2021_2,IRC23,4/5,2021,2,CRYMUR,0.000,0.000,0.000,110.000,0.000,0.000,68.000,1.000,0.000,0.000,179.000,32.545,0
