,Tyear,Quad,flower,Start,Temp,visits,visit_flower_hour,Status,Year,,
1,BD21_2021_2,5,47,15:20,20,0,0,U,2021,,
2,BD21_2021_3,40,201,9:00,0,0,0,U,2021,,
3,BD21_2022_1,10,289,15:23,28,116,1.204152249,U,2022,,
4,BD21_2022_1,20,54,14:30,29,0,0,U,2022,,flower = total number of flowers
5,BD21_2022_1,30,40,14:05,29,0,0,U,2022,,visits = total visit counts of all visitors
6,BD21_2022_1,35,109,13:05,29,182,5.009174312,U,2022,,visit_flower_hour = vists/flower *3
7,BD21_2022_1,45,28,13:05,29,0,0,U,2022,,
8,BD21_2022_2,0,3440,8:30,16,0,0,U,2022,,
9,BD21_2022_2,10,960,8:53,16,291,0.909375,U,2022,,
10,BD21_2022_2,20,754,9:20,17,94,0.374005305,U,2022,,
11,BD21_2022_2,25,18,9:40,18,0,0,U,2022,,
12,BD21_2022_2,45,360,10:00,18,0,0,U,2022,,
13,BD21_2022_3,0,2200,12:23,20,390,0.531818182,U,2022,,
14,BD21_2022_3,10,544,14:50,22,151,0.832720588,U,2022,,
15,BD21_2022_3,25,16,14:08,22,17,3.1875,U,2022,,
16,BD21_2022_3,30,640,13:45,22,65,0.3046875,U,2022,,
17,BD21_2022_3,40,697,13:08,21,284,1.222381636,U,2022,,
18,BKR07_2022_2,35,15,12:20,35,2,0.4,U,2022,,
19,BKR07_2022_3,20,819,8:55,17,11,0.04029304,U,2022,,
20,BKR07_2022_3,40,72,9:37,18,1,0.041666667,U,2022,,
21,BKR10_2021_3,20,407,13:55,0,0,0,U,2021,,
22,BKR10_2021_3,25,17,13:31,0,48,8.470588235,U,2021,,
23,BKR10_2022_1,30,55,13:58,24,0,0,U,2022,,
24,BKR10_2022_1,45,176,13:28,24,36,0.613636364,U,2022,,
25,BKR10_2022_2,25,173,10:00,18,2,0.034682081,U,2022,,
26,BKR10_2022_2,30,17,9:40,18,0,0,U,2022,,
27,BKR10_2022_2,45,370,8:50,18,0,0,U,2022,,
28,BKR10_2022_2,45,370,8:50,22,5,0.040540541,U,2022,,
29,BKR10_2022_3,20,59,14:00,27,0,0,U,2022,,
30,BKR10_2022_3,30,160,13:40,27,17,0.31875,U,2022,,
31,BKR10_2022_3,45,434,13:10,26,145,1.002304147,U,2022,,
32,GYP01_2021_2,25,124,14:06,0,16,0.387096774,M,2021,,
33,GYP01_2021_2,25,124,12:57,0,20,0.483870968,M,2021,,
34,GYP01_2021_2,45,40,14:29,0,22,1.65,M,2021,,
35,GYP01_2021_2,45,40,12:33,0,3,0.225,M,2021,,
36,GYP01_2021_2,5,34,13:42,0,2,0.176470588,M,2021,,
37,GYP01_2021_3,25,42,9:46,0,0,0,M,2021,,
38,GYP01_2021_3,30,48,10:41,0,5,0.3125,M,2021,,
39,GYP01_2021_3,45,24,10:20,0,0,0,M,2021,,
40,GYP01_2022_1,45,32,9:14,19,2,0.1875,M,2022,,
41,GYP01_2022_2,0,21,12:55,20,2,0.285714286,M,2022,,
42,GYP01_2022_3,10,138,10:22,21,1,0.02173913,M,2022,,
43,GYP01_2022_3,25,128,9:45,20,5,0.1171875,M,2022,,
44,GYP01_2022_3,45,260,9:00,18,2,0.023076923,M,2022,,
45,GYP02_2021_1,30,9,10:54,0,5,1.666666667,M,2021,,
46,GYP02_2021_2,0,116,10:02,0,0,0,M,2021,,
47,GYP02_2021_2,45,4,9:12,0,0,0,M,2021,,
48,GYP02_2021_3,15,8,9:22,0,0,0,M,2021,,
49,GYP02_2021_3,15,8,9:50,0,0,0,M,2021,,
50,GYP02_2021_3,45,39,10:40,0,0,0,M,2021,,
51,GYP02_2021_3,45,39,8:55,0,0,0,M,2021,,
52,GYP02_2022_1,45,12,13:47,26,16,4,M,2022,,
53,GYP02_2022_2,20,280,10:00,19,0,0,M,2022,,
