"","Tyear","Status.x","mean_visit_rate","n","Status.y","Year"
"1","BD21_2021_2","U",0,1,"U",2021
"2","BD21_2021_3","U",0,1,"U",2021
"3","BD21_2022_1","U",1.24266531221231,5,"U",2022
"4","BD21_2022_2","U",0.256676061007958,5,"U",2022
"5","BD21_2022_3","U",1.21582158112691,5,"U",2022
"6","BKR07_2022_2","U",0.4,1,"U",2022
"7","BKR07_2022_3","U",0.0409798534798535,2,"U",2022
"8","BKR10_2021_3","U",4.23529411764706,2,"U",2021
"9","BKR10_2022_1","U",0.306818181818182,2,"U",2022
"10","BKR10_2022_2","U",0.018805655366349,4,"U",2022
"11","BKR10_2022_3","U",0.440351382488479,3,"U",2022
"12","GYP01_2021_2","M",0.584487666034156,5,"M",2021
"13","GYP01_2021_3","M",0.104166666666667,3,"M",2021
"14","GYP01_2022_1","M",0.1875,1,"M",2022
"15","GYP01_2022_2","M",0.285714285714286,1,"M",2022
"16","GYP01_2022_3","M",0.0540011845039019,3,"M",2022
"17","GYP02_2021_1","M",1.66666666666667,1,"M",2021
"18","GYP02_2021_2","M",0,2,"M",2021
"19","GYP02_2021_3","M",0,4,"M",2021
"20","GYP02_2022_1","M",4,1,"M",2022
"21","GYP02_2022_2","M",0.303981504768906,4,"M",2022
"22","GYP02_2022_3","M",1.17857142857143,2,"M",2022
"23","GYP04_2021_2","U",0.349090909090909,5,"U",2021
"24","GYP04_2021_3","U",0.5375,6,"U",2021
"25","GYP04_2022_1","U",0.046875,2,"U",2022
"26","GYP04_2022_2","U",0.287275985663082,5,"U",2022
"27","GYP04_2022_3","U",0.0166015625,4,"U",2022
"28","GYP08_2021_2","U",0.527489143920596,5,"U",2021
"29","GYP08_2022_1","U",0.0113636363636364,4,"U",2022
"30","GYP08_2022_2","U",0,3,"U",2022
"31","GYP08_2022_3","U",0.6,2,"U",2022
"32","GYP09_2021_1","U",0,4,"U",2021
"33","GYP09_2021_2","U",0,3,"U",2021
"34","GYP09_2021_3","U",0,2,"U",2021
"35","GYP09_2022_1","U",0.0338028169014084,5,"U",2022
"36","GYP09_2022_2","U",2.625,4,"U",2022
"37","GYP09_2022_3","U",0.476190476190476,1,"U",2022
"38","I02_2021_1","M",0.0631578947368421,5,"M",2021
"39","I02_2021_2","M",0.1,3,"M",2021
"40","I02_2021_3","M",0.0105140186915888,4,"M",2021
"41","I02_2022_3","M",0.157894736842105,2,"M",2022
"42","I08_2021_2","U",0.0612244897959184,1,"U",2021
"43","I08_2021_3","U",0.3,1,"U",2021
"44","I08_2022_1","U",0.3,1,"U",2022
"45","I08_2022_2","U",0.556267958375398,4,"U",2022
"46","I08_2022_3","U",0.250796178343949,4,"U",2022
"47","I14_2021_1","U",0.75094577553594,3,"U",2021
"48","I14_2021_2","U",0,3,"U",2021
"49","I14_2021_3","U",0,2,"U",2021
"50","I14_2022_1","U",0.255840909090909,5,"U",2022
"51","I14_2022_2","U",0.257352941176471,4,"U",2022
"52","I14_2022_3","U",0.181758631757718,4,"U",2022
"53","I15_2021_1","M",1.98584905660377,4,"M",2021
"54","I15_2021_2","M",0,2,"M",2021
"55","I15_2021_3","M",0.0483870967741935,4,"M",2021
"56","I15_2022_1","M",0,2,"M",2022
"57","I15_2022_3","M",1.87546631519983,6,"M",2022
"58","I20_2021_3","U",0,2,"U",2021
"59","I20_2022_1","U",3.21951219512195,1,"U",2022
"60","I20_2022_2","U",0.0219244823386114,2,"U",2022
"61","I20_2022_3","U",0.0267857142857143,4,"U",2022
"62","I40_2021_2","M",0.416666666666667,3,"M",2021
"63","I40_2021_3","M",0.15,4,"M",2021
"64","I40_2022_1","M",0,1,"M",2022
"65","I40_2022_2","M",0.698446015613492,2,"M",2022
"66","I40_2022_3","M",0.0251166662281048,6,"M",2022
"67","I50_2021_3","M",0,5,"M",2021
"68","I50_2022_1","M",0.0075,1,"M",2022
"69","I50_2022_2","M",0.088768115942029,3,"M",2022
"70","I50_2022_3","M",0.0651246261216351,5,"M",2022
"71","IRC01_2021_1","B",0,1,"B",2021
"72","IRC01_2021_2","B",0,5,"B",2021
"73","IRC01_2021_3","B",0.166666666666667,5,"B",2021
"74","IRC01_2022_1","B",0.156746031746032,6,"B",2022
"75","IRC01_2022_2","B",0.0775862068965517,4,"B",2022
"76","IRC01_2022_3","B",0.524509803921569,5,"B",2022
"77","IRC08_2021_1","B",0.0166666666666667,5,"B",2021
"78","IRC08_2021_2","B",0.0397086466165413,4,"B",2021
"79","IRC08_2021_3","B",0.177556818181818,4,"B",2021
"80","IRC08_2022_1","B",0.03125,4,"B",2022
"81","IRC08_2022_2","B",0.372727272727273,5,"B",2022
"82","IRC08_2022_3","B",0.395294117647059,5,"B",2022
"83","IRC13_2021_1","B",3.28,5,"B",2021
"84","IRC13_2022_2","B",0.015625,3,"B",2022
"85","IRC23_2021_1","B",3,1,"B",2021
"86","IRC23_2021_2","B",0,5,"B",2021
"87","IRC23_2021_3","B",0,2,"B",2021
"88","IRC23_2022_1","B",0,4,"B",2022
"89","IRC23_2022_2","B",0.378947368421053,4,"B",2022
"90","IRC23_2022_3","B",0,3,"B",2022
"91","SS03_2021_1","B",1.5,4,"B",2021
"92","SS03_2021_2","B",1.33031400966184,4,"B",2021
"93","SS03_2021_3","B",0,4,"B",2021
"94","SS03_2022_1","B",0,3,"B",2022
"95","SS03_2022_2","B",0.172933376266027,4,"B",2022
"96","SS03_2022_3","B",0.254626865671642,3,"B",2022
"97","SS04_2021_2","B",0.0789473684210526,4,"B",2021
"98","SS04_2021_3","B",0,5,"B",2021
"99","SS04_2022_1","B",0.102439024390244,5,"B",2022
"100","SS04_2022_2","B",0.0521739130434783,5,"B",2022
"101","SS04_2022_3","B",0.279141442287267,5,"B",2022
"102","SS05_2021_1","B",0.00625,3,"B",2021
"103","SS05_2021_2","B",0.255813953488372,6,"B",2021
"104","SS05_2021_3","B",0,5,"B",2021
"105","SS05_2022_1","B",0.3,5,"B",2022
"106","SS05_2022_2","B",0.569698633714009,4,"B",2022
"107","SS05_2022_3","B",0.292153858606011,5,"B",2022
