"","Transect","Quad","Year","Round","Date","Temp","Wspd","Start","Time","Veg","Num","Type_pollinator","Bee_type","Size","Long_pol_sp","fine_pollinator","fine_pollinator_size","Tyear"
"1","IRC23","10",2021,1,"18-Mar",19,NA,"12:40","12:34","EROCIC",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC23_2021_1"
"2","IRC23","10",2021,1,"18-Mar",NA,NA,"12:40","12:35","CRYMUR",3,"BEE","Native",10,"Hyleus mesillae","BEE_Native","BEE_Native_10","IRC23_2021_1"
"3","IRC23","10",2021,1,"18-Mar",NA,NA,"12:40","12:43","CRYMUR",2,"DIP","",NA,"diptera","DIP","DIP","IRC23_2021_1"
"4","IRC13","40",2021,1,"19-Mar",14,NA,"9:58","15:58","PHAPAR",2,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"5","IRC13","20",2021,1,"19-Mar",16,NA,"10:20","13:54","PHAPAR",3,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"6","IRC13","20",2021,1,"19-Mar",16,NA,"10:20","19:26","PHAPAR",3,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"7","IRC13","15",2021,1,"19-Mar",18,NA,"11:37","0:00","PHAPAR",1,"BEE","Native",5,"nativebee","BEE_Native","BEE_Native_5","IRC13_2021_1"
"8","IRC13","15",2021,1,"19-Mar",18,NA,"11:37","1:26","CRYMUR",1,"DIP","",NA,"Diptera","DIP","DIP","IRC13_2021_1"
"9","IRC13","15",2021,1,"19-Mar",18,NA,"11:37","9:35","PHAPAR",4,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"10","IRC13","15",2021,1,"19-Mar",18,NA,"11:37","17:40","PHAPAR",3,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"11","IRC13","15",2021,1,"19-Mar",18,NA,"11:37","18:24","PHAPAR",4,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"12","IRC13","15",2021,1,"19-Mar",18,NA,"11:37","19:40","PHAPAR",5,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"13","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","0:00","PHAPAR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"14","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","0:00","PHAPAR",2,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"15","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","2:49","PHAPAR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"16","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","3:58","PHAPAR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"17","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","10:42","CRYMUR",1,"BEE","Native",10,"halictid?","BEE_Native","BEE_Native_10","IRC13_2021_1"
"18","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","16:02","PHAPAR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"19","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","16:33","PHAPAR",2,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"20","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","16:33","PHAPAR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"21","IRC13","15",2021,1,"19-Mar",21,NA,"12:16","17:21","PHAPAR",2,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"22","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","1:20","PHAPAR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"23","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","2:15","PHAPAR",5,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"24","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","4:55","PHAPAR",2,"LID","",NA,"Bombyliidae","LID","LID","IRC13_2021_1"
"25","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","6:21","PHAPAR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"26","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","7:03","PHAPAR",2,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"27","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","7:36","PHAPAR",3,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"28","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","","CRYMUR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"29","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","","PHAPAR",1,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"30","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","8:57","PHAPAR",2,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"31","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","8:58","PHAPAR",2,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"32","IRC13","20",2021,1,"19-Mar",21,NA,"12:48","12:25","PHAPAR",2,"BEE","Apis",NA,"Apis mellifera","BEE_Apis","BEE_Apis","IRC13_2021_1"
"33","IRC01","15",2021,1,"22-Mar",18,NA,"12:58","3:56",NA,NA,"HUM","",NA,"Hummingbird","HUM","HUM","IRC01_2021_1"
"34","IRC01","15",2021,1,"22-Mar",18,NA,"12:58","6:35",NA,NA,"BEE","Apis",NA,"Honeybee","BEE_Apis","BEE_Apis","IRC01_2021_1"
